2026-04-22T22:22:13.198540+0000 | INFO | src.logger:21 | Fichier de logs crée avec succée début du traitement du pipeline
2026-04-22T22:22:13.199064+0000 | INFO | src.extract:20 | Début de l'extraction des données depuis la data base
2026-04-22T22:22:13.289883+0000 | INFO | src.extract:24 | testing connection !
2026-04-22T22:22:13.304416+0000 | SUCCESS | src.extract:26 | ✅ Connexion à la base de donnée éffectué avec succée
2026-04-22T22:22:13.304825+0000 | INFO | src.extract:28 | ✅ Extraction des données depuis la base reussi
2026-04-22T22:22:13.314673+0000 | INFO | src.clean_data:12 | Début du néttoyage des données brutes reçus
2026-04-22T22:22:13.316908+0000 | INFO | src.clean_data:14 | Copie des données brutes reçu effectué
2026-04-22T22:22:13.343394+0000 | INFO | src.clean_data:32 | Création du fichier csv des données propres avec succée : clean_data_ventes_janvier_22-04-2026_22-22.csv
2026-04-22T22:22:13.343751+0000 | INFO | src.features:11 | Début des features pour l'enrichissement du dataframe
2026-04-22T22:22:13.350526+0000 | INFO | src.features:30 | Fini avec les features
2026-04-22T22:22:13.350757+0000 | INFO | src.analysis.analysis_produit:12 | Début des aggrégations par produits
2026-04-22T22:22:13.355576+0000 | INFO | src.analysis.analysis_produit:29 | Aggrégations par produits éffectué avec succées
2026-04-22T22:22:13.355774+0000 | INFO | src.analysis.analysis_region:13 | Début des aggrégations par régions
2026-04-22T22:22:13.359565+0000 | INFO | src.analysis.analysis_region:30 | Aggrégations par régions éffectué avec succées
2026-04-22T22:22:13.359747+0000 | INFO | src.analysis.analysis_jours:11 | Début des aggrégations par jous
2026-04-22T22:22:13.365272+0000 | INFO | src.analysis.analysis_jours:29 | Aggrégations par jours éffectué avec succées
2026-04-22T22:22:13.365846+0000 | INFO | src.rapport_excel:16 | Lancement de la fonction de génération du rapport
2026-04-22T22:22:13.448594+0000 | INFO | src.rapport_excel:18 | Création du contexte manager et création du fichier Excel
2026-04-22T22:22:13.448958+0000 | INFO | src.rapport_excel:48 | Création de la feuille Données Brutes
2026-04-22T22:22:13.482757+0000 | INFO | src.rapport_excel:54 | Application de la mise en forme du header pour la feuille Données Brutes
2026-04-22T22:22:13.483063+0000 | INFO | src.rapport_excel:57 | Application de l'auto filtre sur la feuille Données Brutes
2026-04-22T22:22:13.483227+0000 | INFO | src.rapport_excel:60 | Fixation du header pour la feuille Données Brutes
2026-04-22T22:22:13.483361+0000 | INFO | src.rapport_excel:48 | Création de la feuille Données Néttoyées
2026-04-22T22:22:13.513584+0000 | INFO | src.rapport_excel:54 | Application de la mise en forme du header pour la feuille Données Néttoyées
2026-04-22T22:22:13.513859+0000 | INFO | src.rapport_excel:57 | Application de l'auto filtre sur la feuille Données Néttoyées
2026-04-22T22:22:13.514017+0000 | INFO | src.rapport_excel:60 | Fixation du header pour la feuille Données Néttoyées
2026-04-22T22:22:13.515153+0000 | INFO | src.rapport_excel:67 | Calcule de la largeur des cellules automatquement
2026-04-22T22:22:13.515306+0000 | INFO | src.rapport_excel:68 | Application des divers formatages pour la feuille Données Néttoyées
2026-04-22T22:22:13.516004+0000 | INFO | src.rapport_excel:67 | Calcule de la largeur des cellules automatquement
2026-04-22T22:22:13.516148+0000 | INFO | src.rapport_excel:68 | Application des divers formatages pour la feuille Données Néttoyées
2026-04-22T22:22:13.516796+0000 | INFO | src.rapport_excel:67 | Calcule de la largeur des cellules automatquement
2026-04-22T22:22:13.516936+0000 | INFO | src.rapport_excel:68 | Application des divers formatages pour la feuille Données Néttoyées
2026-04-22T22:22:13.517670+0000 | INFO | src.rapport_excel:67 | Calcule de la largeur des cellules automatquement
2026-04-22T22:22:13.517809+0000 | INFO | src.rapport_excel:68 | Application des divers formatages pour la feuille Données Néttoyées
